Source Name,RA (HMS),Dec (DMS)
J0942-5657,09:42:54.424,-56:57:43.21
J0943+1631,09:43:30.10,16:31:37
J0943+2253,09:43:32.3975,22:53:05.66
J0944+4106,09:44:18.13816499,+41:06:04.53655062
J0944-1354,09:44:28.9559,-13:54:41.63
J0945-4833,09:45:38.254,-48:33:14.50
J0946+0951,09:46:07.6,09:51:55
J0947+2740,09:47:21.287,27:40:43.5
J0949-6902,09:49:20.567,-69:02:41.60
J0951-71,09:51:24,-71:19:01
J0952-0607,09:52:08.32141,-06:07:23.490
J0952-3839,09:52:17.2,-38:39:10.2
J0953+0755,09:53:09.3097,07:55:35.75
J0954-5430,09:54:06.046,-54:30:52.82
J0955-5304,09:55:29.461,-53:04:16.64
J0955-6150,09:55:12,-61:50
J0957-06,09:57,-06:17
J0957-5432,09:57:56.01,-54:32:03.9
J0959-4809,09:59:26.212,-48:09:47.47
J1000+08,10:00:38,+08:19:58
J1000-5149,10:00:28.141,-51:49:58.12
J1001-5507,10:01:37.85,-55:07:07.8
J1001-5559,10:01:08.60,-55:59:00.2
J1001-5939,10:01:32.23,-59:39:17.8
J1002-5559,10:02:57.9,-55:59:37
J1002-5919,10:02:20.50,-59:19:37.2
J1003-4747,10:03:21.529,-47:47:01.190
J1005+30,10:05:30,+30:15
J1006-6311,10:06:36.60,-63:11:41.2
J1010+15,10:10:00,+15:51
J1012+5307,10:12:33.43820707,+53:07:02.24902675
J1012-2337,10:12:33.72515148,-23:38:22.43540711
J1012-4235,10:12:12.941,-42:35:53.44
J1012-5830,10:12:54.9,-58:30:25.6
J1012-5857,10:12:48.470,-58:57:48.50
J1013-5934,10:13:31.848,-59:34:26.63
J1014-48,10:14:18,-48:49:42
J1015-5719,10:15:37.96,-57:19:12.8
J1016-5345,10:16:31.135,-53:45:14.26
J1016-5819,10:16:12.071,-58:19:01.07
J1016-5857,10:16:21.16,-58:57:12.1
J1017+3011,10:17:36.29,+30:11:46.1
J1017-5621,10:17:12.831,-56:21:30.52
J1017-7156,10:17:51.31818025,-71:56:41.62972211
J1018-1523,10:18,-15:00:00
J1018-1642,10:18:40.36446137,-16:42:10.15336116
J1019-5749,10:19:52.14,-57:49:05.9
J1020-5921,10:20:14.03,-59:21:34
J1020-6026,10:20:11.41,-60:26:06.3
J1021-5601,10:21:24.82,-56:01:50.9
J1022+1001,10:22:57.99355017,+10:01:52.66034884
J1022-5813,10:22:28.1,-58:13:30
J1023+0038,10:23:47.68720,00:38:40.8455
J1023-5746,10:23:02.9,-57:46:05
J1024-0719,10:24:38.67033357,-07:19:19.52703821
J1028-5819,10:28:28.0,-58:19:05.2
J1031-6117,10:31:02.24,-61:17:50.6
J1032-5206,10:32:27.69,-52:06:08.5
J1032-5911,10:32:04.876,-59:11:54.8
J1034-3224,10:34:19.50973344,-32:24:25.99600837
J1035-6345,10:35:03.08,-63:45:18.41
J1035-6720,10:35:27.478,-67:20:12.692
J1036-4926,10:36:13.121,-49:26:21.2
J1036-6559,10:36:20.04,-65:59:09.27
J1036-8317,10:36:40.561,-83:17:56.02
J1038+0032,10:38:26.933,+00:32:43.6
J1038-5831,10:38:19.70,-58:31:27.18
J1041-1942,10:41:36.196,-19:42:13.61
J1042-5521,10:42:00.4853,-55:21:05.793
J1043-6116,10:43:55.261,-61:16:50.76
J1044-5737,10:44:32.8,-57:37:19.3
J1045-0436,10:45,-04:00:00
J1045-4509,10:45:50.18342643,-45:09:54.11974265
J1046+0304,10:46:43.23,+03:04:06.9
J1046-5813,10:46:18.81,-58:13:52.0
J1047-3032,10:47:00.81238726,-30:32:18.01672925
J1047-6709,10:47:28.282,-67:09:51.066
J1048+2339,10:48:43.418354,+23:39:53.4043
J1048+5349,10:48:06.46,+53:49:51.9
J1048-5832,10:48:13.05,-58:32:06.2
J1048-5838,10:48:12.561,-58:38:19.02
J1049+5822,10:49:37.90,+58:22:17.1
J1049-5833,10:49:50.34,-58:33:44.6
J1050-5953,10:50:07.12,-59:53:21.4
J1052-5954,10:52:38.11,-59:54:44.1
J1052-6348,10:52:53.39,-63:48:16.6
J1054-5943,10:54:57.75,-59:43:14.1
J1054-5946,10:54:30.46,-59:46:31.0
J1054-6452,10:54:08.84,-64:52:37.5
J1055-6022,10:55:48.5,-60:22:52
J1055-6028,10:55:39.19,-60:28:37.5
J1055-6236,10:55:54.61,-62:36:48.3
J1055-6905,10:55:44.71,-69:05:11.4
J1056-5709,10:56:43.79,-57:09:34.5
J1056-6258,10:56:25.584,-62:58:47.69
J1056-7117,10:56:45.980,-71:17:53.394
J1057-4754,10:57:53.138,-47:54:57.60
J1057-5226,10:57:59.045,-52:26:56.33
J1057-5851,10:57:09.5,-58:51:07
J1057-7914,10:57:27.7,-79:14:23.6
J1058-5957,10:58:34.25,-59:57:36.4
J1059+6459,10:59:27.50296998,+64:59:31.903191
J1059-5742,10:59:00.8886,-57:42:14.55
J1101-6101,11:01:44.96,-61:01:39.6
J1101-6424,11:01:37.1923,-64:24:39.332
J1102+02,11:02,+02:00:00
J1103-5403,11:03:33.294,-54:03:43.245
J1103-6025,11:03:31.48,-60:25:36.39
J1104-6103,11:04:17.262,-61:03:03.88
J1105+02,11:05:32.0,+02:28:50.74
J1105-4353,11:05:24.84,-43:53:05
J1105-6037,11:05:00.48,-60:37:16.3
J1105-6107,11:05:26.14,-61:07:48.94
J1106-6438,11:06:28.44,-64:39:00.0
J1107-5907,11:07:34.46,-59:07:18.7
J1107-5947,11:07:58.7,-59:47:04
J1107-6143,11:07:12.3,-61:43:59
J1110+58,11:11,+58:52
J1110-5637,11:10:00.3712,-56:37:32.57
J1111-6039,11:11:48.6,-60:39:26
J1112-6103,11:12:14.81,-61:03:31.1
J1112-6613,11:12:38.414,-66:13:04.663
J1112-6926,11:12:50.78,-69:26:32.33
J1114-6100,11:14:22.69,-61:00:32.1
J1115+5030,11:15:38.400,50:30:12.29
J1115-0956,11:15:27.361,-09:56:53.1
J1115-6052,11:15:53.722,-60:52:18.61
J1116-2444,11:16:23.26,-24:44:56.1
J1116-4122,11:16:43.086,-41:22:43.96
J1117-6154,11:17:23.81,-61:54:22
J1117-6447,11:17:45.0,-64:47:58
J1119-6127,11:19:14.30,-61:27:49.5
J1119-7936,11:19:40.8,-79:36:30.3
J1120-24,11:20,-24:00:00
